station_name,lon,lat
共和,103.3154712,29.3022404
共青城,115.7697513,29.245657
关寨,105.22061,26.28737
关岭,105.5249234,25.9682623
关村坝,103.0219302,29.2888867
关林,112.5074238,34.6353909
关碾房,109.9712083,40.3057471
兴业,109.9025268,22.7408919
兴业南,109.8754943,22.7156303
兴义,104.9845617,25.1688331
兴义南,104.9543312,25.0836398
兴凯,132.0671671,45.702086
兴和,114.604029,42.153813
兴和北,113.8353054,40.8913252
兴和西,113.8066179,40.8476468
兴国,115.313695,26.3331296
兴国西,115.2740332,26.3157495
兴城,120.6961898,40.6227038
兴城西,120.6106866,40.5908916
兴宁,115.723968,24.104849
兴宁南,115.7885009,24.105281
兴安北,110.6630194,25.6765831
兴安岭,121.6585092,48.8210926
兴山,110.7455124,31.3276701
兴平,108.4844158,34.2898616
兴文,105.2439977,28.3383862
兴文南,105.2687509,28.1621231
兴无,124.6743991,46.2098236
兴泉堡,104.0050453,37.1145335
兴福,127.1141427,46.6896037
兴莲,130.2904978,46.8780872
兴隆县,117.5075971,40.4355217
兴隆县西,117.4756319,40.4126792
兴隆场,106.3831142,29.7025704
兴隆山,125.4652175,43.9548628
兴隆店,123.0507559,41.9781084
兴隆河,125.1802343,42.2611087
兴隆镇,127.1143364,46.4414025
养马河,104.5036947,30.5083111
内乡,111.8604008,33.0697653
内江,105.0338639,29.5903653
内江东,105.0527903,29.5632623
内江北,105.0822061,29.6124023
内江南,104.9874866,29.5427624
内黄,114.8577529,35.6728219
册亨,105.5720839,24.9175595
冕宁,102.1927442,28.2892231
冕山,102.3081756,28.3572788
军粮城北,117.4211857,39.0657874
农垦四团,106.5952143,40.7735716
农安,125.1546966,44.4338368
冠县,115.4388333,36.4994287
冠朝,114.9859156,26.6759351
冠豸山,116.7174411,25.743351
冠豸山南,116.6748378,25.5270977
冯家山,107.1833376,34.5275211
冯屯,124.1228745,47.4622102
冷坝,105.1701904,26.4292925
冷水,109.8752958,32.8988743
冷水江东,111.4615653,27.6612135
准东,89.1102147,44.7355462
准东北,89.156338,44.7895812
准格尔,111.2361696,40.1255051
凉红,102.8176636,29.0837105
凉雾,108.8086804,30.2619167
凌海,121.3569018,41.1792904
凌海南,121.3706097,41.1508635
凌源,119.3770589,41.2339402
凌源东,119.409522,41.261455
凤凰古城,109.5993906,28.0191733
凤凰城,124.0522147,40.448566
凤凰机场,109.4048937,18.3104251
凤县,106.5030134,33.9068608
凤台南,116.6172776,32.6385666
凤城东,124.1287279,40.462948
凤州,106.650962,33.97154
凤翔,107.2459701,34.4627646
凤阁岭,106.4444112,34.5326775
凤阳,117.6263425,32.9069515
凭祥,106.739165,22.082796
凭祥东,106.7893734,22.1063767
凯北,132.4142899,45.7201693
凯里,107.9717627,26.6064628
凯里南,107.8837989,26.517651
凯里西,107.6654373,26.5487133
刀尔登,119.1159576,40.7476567
分宜,114.6587983,27.8088894
分路口,116.3190472,31.7458871
刘召,108.0441057,40.9098553
刘家店,126.3019787,44.8007335
刘家河,123.98067,40.67018
刘府,117.3294193,32.8003993
刘征,118.2050424,36.6974984
刘沟,103.5061739,29.2888632
刚察,100.097885,37.243944
利国镇,108.8851676,18.4990551
利川,108.9359725,30.2811807
利津南,118.1690204,37.4064587
利辛西,116.1228,33.2073823
别山,117.4816011,39.9548053
到保,123.1643579,45.5962637
前卫,120.1291707,40.1736956
前场,117.9730668,24.5728722
前磨头,115.4860635,37.79479
前苇塘,117.404483,40.3992601
前进镇,133.1167891,47.5413829
前锋,133.8783965,47.6155124
剑门关,105.4810584,32.283669
加劳,108.0053807,26.7348064
加南,124.1575702,50.3343378
加查,92.5678327,29.1435915
加格达奇,124.1185836,50.4180875
劲松,124.1809844,51.0656774
勃利,130.5515451,45.7540423
勉县,106.6881079,33.1730253
勉西,106.6381431,33.1381394
勐腊,101.5870139,21.4280616
包头,109.830185,40.6040793
包头东,110.0186724,40.5684798
包头北,109.740242,40.660937
包头西,109.7347591,40.6136922
化城,102.8310306,24.7831262
化处,105.61643,26.21252
化州,110.6474814,21.6557754
化德,114.0320635,41.8947338
化念,102.2311388,24.0465307
化龙南,113.4377323,23.0393897
北义井,112.83419,38.45803
北井子,123.8970414,39.8969544
北京,116.4210134,39.9011168
北京东,116.478656,39.901096
北京丰台,116.2953417,39.8499954
北京北,116.3461866,39.9459061
北京南,116.3723994,39.8634831
北京大兴,116.3222953,39.7191662
北京朝阳,116.5024181,39.9433162
北京西,116.3151027,39.8936695
北京通州,116.7001463,39.9079706
北仓,117.1457309,39.2416408
北召店,112.757529,33.4746157
北台,123.6383481,41.23087
北塬,109.5088339,35.4139547
北安,126.506639,48.2326987
北屯,114.7640151,39.3568901
北屯市,87.7565199,47.3229415
北戴河,119.4137242,39.8495816
北板桥,112.8898599,35.6479207
北流,110.3174114,22.7327674
北滘,113.2586145,22.9180045
北滘西,113.172897,22.9551455
北滩,104.8651534,37.0536951
北牟,118.1061172,36.5103152
北碚,106.4336391,29.8278983
北票,120.7836055,41.7664385
北舍,113.1571332,36.3216626
北辰,117.2706945,39.271114
北马圈子,117.5975884,40.5194263
十三间房,91.7923854,43.1893228
十八台,112.8118242,40.9035059
十堰,110.7773236,32.6069527
